,pVal,phase,peak.shape,period,diel
Bacillariophyta_K08913,9.41838529963649e-13,20,8,24,YES
Haptophyta_K05863,3.01537664291116e-12,24,12,24,YES
Haptophyta_K01647,3.01537664291116e-12,24,12,24,YES
Haptophyta_K11088,3.01537664291116e-12,24,12,24,YES
Ochrophyta_K01647,3.01537664291116e-12,24,12,24,YES
Haptophyta_K16345,2.11076365003781e-11,24,12,24,YES
Haptophyta_K14684,2.2163018325397e-11,24,12,24,YES
Haptophyta_K02291,2.80348203361673e-11,16,8,24,YES
Ochrophyta_K09552,2.94365613529756e-11,16,8,24,YES
Haptophyta_K01599,3.0838302369784e-11,16,8,24,YES
Haptophyta_K01749,3.0838302369784e-11,16,8,24,YES
Haptophyta_K03661,1.02522805858979e-10,24,12,24,YES
Haptophyta_K03521,1.02522805858979e-10,24,12,24,YES
Haptophyta_K01426,1.02522805858979e-10,24,12,24,YES
Haptophyta_K03458,1.07648946151928e-10,24,12,24,YES
Haptophyta_K02716,1.42977583714453e-10,16,8,24,YES
Dinophyta_K16345,3.98029716864273e-10,24,12,24,YES
Bacillariophyta_K00855,3.98029716864273e-10,12,12,24,YES
Haptophyta_K01959,3.98029716864273e-10,24,12,24,YES
Ochrophyta_K01749,3.98029716864273e-10,16,12,24,YES
Haptophyta_K01455,4.17931202707487e-10,24,12,24,YES
Cryptophyta_K03386,4.69138252344499e-10,8,12,24,YES
Ochrophyta_K02716,5.55089442656112e-10,16,8,24,YES
Haptophyta_K01662,5.81522273258784e-10,16,8,24,YES
Haptophyta_K00228,9.71406524648196e-10,20,4,24,YES
Dinophyta_K03458,1.33581185280964e-09,24,12,24,YES
Bacillariophyta_K10705,1.33581185280964e-09,16,12,24,YES
Haptophyta_K01412,1.40260244545013e-09,24,12,24,YES
Haptophyta_K11188,1.40260244545013e-09,24,12,24,YES
Haptophyta_K02267,1.40260244545013e-09,24,12,24,YES
Haptophyta_K00658,1.46939303809061e-09,24,12,24,YES
Bacillariophyta_K01915,1.57445640748949e-09,20,12,24,YES
Haptophyta_K14067,1.76619368117854e-09,24,16,24,YES
Ochrophyta_K08956,1.76619368117854e-09,16,8,24,YES
Haptophyta_K01698,1.85450336523747e-09,16,8,24,YES
Haptophyta_K03404,1.94281304929639e-09,16,8,24,YES
Haptophyta_K03424,1.96633402374124e-09,12,16,24,YES
Haptophyta_K09838,2.54562629720779e-09,20,4,24,YES
Haptophyta_K10419,4.00743555842893e-09,24,12,24,YES
Haptophyta_K00311,4.00743555842893e-09,24,12,24,YES
Haptophyta_K04640,4.20780733635038e-09,24,12,24,YES
Haptophyta_K11251,4.20780733635038e-09,24,12,24,YES
Haptophyta_K15791,4.20780733635038e-09,24,12,24,YES
Haptophyta_K02146,4.20780733635038e-09,24,12,24,YES
Haptophyta_K03676,4.20780733635038e-09,16,12,24,YES
Haptophyta_K01463,4.20780733635038e-09,24,12,24,YES
Ochrophyta_K00927,4.20780733635038e-09,12,12,24,YES
Haptophyta_K10881,4.40817911427182e-09,24,12,24,YES
Haptophyta_K07301,4.40817911427182e-09,24,12,24,YES
Haptophyta_K02737,4.40817911427182e-09,24,12,24,YES
Haptophyta_K02740,4.40817911427182e-09,24,12,24,YES
Bacillariophyta_K02638,4.9595376835919e-09,8,12,24,YES
Bacillariophyta_K02636,5.52566308825857e-09,16,8,24,YES
Haptophyta_K01900,5.52566308825857e-09,24,16,24,YES
Haptophyta_K02636,5.52566308825857e-09,16,8,24,YES
Haptophyta_K03697,8.41939429524095e-09,20,8,24,YES
Haptophyta_K17267,8.41939429524095e-09,20,16,24,YES
Haptophyta_K09488,8.41939429524095e-09,20,16,24,YES
Bacillariophyta_K08910,8.82031783310957e-09,20,8,24,YES
Bacillariophyta_K00134,1.10272323831261e-08,16,12,24,YES
Haptophyta_K01571,1.10272323831261e-08,24,12,24,YES
Haptophyta_K13750,1.10272323831261e-08,24,12,24,YES
Haptophyta_K13752,1.10272323831261e-08,24,12,24,YES
Bacillariophyta_K00101,1.15785940022824e-08,12,12,24,YES
Chlorophyta_K00927,1.15785940022824e-08,12,12,24,YES
Haptophyta_K00253,1.15785940022824e-08,24,12,24,YES
Haptophyta_K11786,1.15785940022824e-08,24,12,24,YES
Haptophyta_K04630,1.15785940022824e-08,24,12,24,YES
Haptophyta_K00322,1.15785940022824e-08,24,12,24,YES
Haptophyta_K13339,1.15785940022824e-08,16,12,24,YES
Haptophyta_K01843,1.15785940022824e-08,16,12,24,YES
Haptophyta_K06627,1.15785940022824e-08,24,12,24,YES
Haptophyta_K00323,1.15785940022824e-08,24,12,24,YES
Haptophyta_K00325,1.15785940022824e-08,24,12,24,YES
Ochrophyta_K16345,1.15785940022824e-08,24,12,24,YES
Haptophyta_K10960,1.3469947016747e-08,20,4,24,YES
Bacillariophyta_K05808,1.36471251383714e-08,20,12,24,YES
Cryptophyta_K11187,1.42969882401986e-08,8,12,24,YES
Haptophyta_K00239,1.42969882401986e-08,20,12,24,YES
Haptophyta_K00540,1.42969882401986e-08,20,12,24,YES
Haptophyta_K08262,1.43418130891164e-08,16,8,24,YES
Haptophyta_K10256,1.43418130891164e-08,16,8,24,YES
Bacillariophyta_K01823,1.46226761080128e-08,12,16,24,YES
Haptophyta_K09584,2.03000451880983e-08,20,16,24,YES
Haptophyta_K05592,2.03000451880983e-08,20,16,24,YES
Haptophyta_K13984,2.03000451880983e-08,20,16,24,YES
Haptophyta_K11927,2.12667140065792e-08,20,16,24,YES
Bacillariophyta_K02706,2.22333828250601e-08,20,8,24,YES
Bacillariophyta_K11517,2.8239002260863e-08,12,12,24,YES
Haptophyta_K02183,2.8239002260863e-08,24,12,24,YES
Haptophyta_K01960,2.8239002260863e-08,24,12,24,YES
Haptophyta_K04631,2.8239002260863e-08,24,12,24,YES
Haptophyta_K13412,2.8239002260863e-08,24,12,24,YES
Haptophyta_K08805,2.8239002260863e-08,24,12,24,YES
Haptophyta_K10949,2.8239002260863e-08,24,12,24,YES
Haptophyta_K13777,2.8239002260863e-08,24,12,24,YES
Haptophyta_K03403,2.86936355457009e-08,20,4,24,YES
Bacillariophyta_K00615,2.96509523739062e-08,12,12,24,YES
Bacillariophyta_K03404,2.96509523739062e-08,12,12,24,YES
Bacillariophyta_K00817,2.96509523739062e-08,12,12,24,YES
Bacillariophyta_K09647,2.96509523739062e-08,12,12,24,YES
Bacillariophyta_K17100,2.96509523739062e-08,12,12,24,YES
Bacillariophyta_K08902,2.96509523739062e-08,12,12,24,YES
Chlorophyta_K08916,2.96509523739062e-08,12,12,24,YES
Haptophyta_K01958,2.96509523739062e-08,24,12,24,YES
Haptophyta_K08232,2.96509523739062e-08,24,12,24,YES
Haptophyta_K03955,2.96509523739062e-08,24,12,24,YES
Haptophyta_K05868,2.96509523739062e-08,24,12,24,YES
Haptophyta_K01845,3.06287882675407e-08,16,8,24,YES
Bacillariophyta_K03840,3.10629024869493e-08,16,12,24,YES
Haptophyta_K12811,3.10629024869493e-08,24,12,24,YES
Haptophyta_K17086,3.10629024869493e-08,24,12,24,YES
Haptophyta_K17732,3.10629024869493e-08,24,12,24,YES
Bicosoecida_K02935,3.36059900539322e-08,8,16,24,YES
Cryptophyta_K14171,3.49481342414132e-08,8,12,24,YES
Haptophyta_K02935,3.49481342414132e-08,8,12,24,YES
Bacillariophyta_K05590,3.52862895566288e-08,8,8,24,YES
Bacillariophyta_K00161,3.53387783255518e-08,12,16,24,YES
Bacillariophyta_K02641,3.53387783255518e-08,12,16,24,YES
Haptophyta_K04534,3.57457824133903e-08,24,16,24,YES
Bacillariophyta_K02719,3.81035260599018e-08,16,8,24,YES
Bacillariophyta_K02714,3.81035260599018e-08,16,8,24,YES
Haptophyta_K08913,3.81035260599018e-08,16,8,24,YES
Haptophyta_K11162,3.81035260599018e-08,16,8,24,YES
Haptophyta_K13605,3.81035260599018e-08,16,8,24,YES
Haptophyta_K00278,4.01237598472971e-08,24,8,24,YES
Haptophyta_K01903,4.17324333037019e-08,24,16,24,YES
Bacillariophyta_K00958,4.52839444185026e-08,12,12,24,YES
Haptophyta_K08910,4.52839444185026e-08,16,12,24,YES
Bacillariophyta_K08909,4.64617508999522e-08,20,8,24,YES
Haptophyta_K03696,4.64617508999522e-08,20,8,24,YES
Haptophyta_K09583,4.64617508999522e-08,20,16,24,YES
Haptophyta_K02735,4.64617508999522e-08,20,16,24,YES
Bacillariophyta_K08916,4.86742152285214e-08,20,8,24,YES
Haptophyta_K10226,4.86742152285214e-08,20,8,24,YES
Ochrophyta_K00413,4.86742152285214e-08,20,16,24,YES
Bacillariophyta_K10906,5.08866795570905e-08,20,16,24,YES
Haptophyta_K00480,5.59308307494222e-08,20,4,24,YES
Bacillariophyta_K15283,6.8087204596934e-08,12,12,24,YES
Bacillariophyta_K00104,6.8087204596934e-08,12,12,24,YES
Bacillariophyta_K15054,6.8087204596934e-08,12,12,24,YES
Haptophyta_K01825,6.8087204596934e-08,24,12,24,YES
Haptophyta_K08818,6.8087204596934e-08,24,12,24,YES
Haptophyta_K03320,6.8087204596934e-08,24,12,24,YES
Haptophyta_K15112,6.8087204596934e-08,16,12,24,YES
Haptophyta_K11731,6.8087204596934e-08,24,12,24,YES
Haptophyta_K00255,6.8087204596934e-08,24,12,24,YES
Bacillariophyta_K03841,7.14915648267807e-08,12,12,24,YES
Chlorophyta_K14172,7.14915648267807e-08,12,12,24,YES
Haptophyta_K01902,7.14915648267807e-08,24,12,24,YES
Haptophyta_K04634,7.14915648267807e-08,24,12,24,YES
Haptophyta_K00164,7.14915648267807e-08,24,12,24,YES
Haptophyta_K10412,7.14915648267807e-08,24,12,24,YES
Haptophyta_K17087,7.14915648267807e-08,24,12,24,YES
Haptophyta_K14965,7.14915648267807e-08,24,12,24,YES
Haptophyta_K04539,7.14915648267807e-08,24,12,24,YES
Haptophyta_K15102,7.14915648267807e-08,24,12,24,YES
Haptophyta_K15636,7.14915648267807e-08,16,12,24,YES
Haptophyta_K02155,7.48959250566274e-08,24,12,24,YES
Haptophyta_K15016,7.48959250566274e-08,24,12,24,YES
Haptophyta_K08794,7.48959250566274e-08,24,12,24,YES
Haptophyta_K06641,7.48959250566274e-08,24,12,24,YES
Haptophyta_K17085,7.48959250566274e-08,24,12,24,YES
Haptophyta_K07593,7.48959250566274e-08,24,12,24,YES
Haptophyta_K15100,7.48959250566274e-08,24,12,24,YES
Haptophyta_K00414,7.48959250566274e-08,24,12,24,YES
Haptophyta_K06698,7.48959250566274e-08,24,12,24,YES
Ochrophyta_K01803,7.79158247645029e-08,16,8,24,YES
Chlorophyta_K07226,8.07615342908138e-08,16,16,24,YES
Haptophyta_K09013,8.07615342908138e-08,8,16,24,YES
Bacillariophyta_K03921,8.10394741469985e-08,12,16,24,YES
Cryptophyta_K00927,8.10394741469985e-08,12,16,24,YES
Haptophyta_K02863,8.42598956793239e-08,8,12,24,YES
Haptophyta_K02876,8.42598956793239e-08,8,12,24,YES
Ochrophyta_K10704,8.46073216379954e-08,8,16,24,YES
Bacillariophyta_K06413,9.05678888370052e-08,16,8,24,YES
Haptophyta_K00514,9.05678888370052e-08,16,8,24,YES
Haptophyta_K02087,9.05678888370052e-08,24,16,24,YES
Haptophyta_K08909,9.05678888370052e-08,16,8,24,YES
Haptophyta_K00507,9.05678888370052e-08,16,8,24,YES
Haptophyta_K03405,9.05678888370052e-08,16,8,24,YES
Bacillariophyta_K02716,1.0160990731839e-07,20,8,24,YES
Haptophyta_K03694,1.0160990731839e-07,20,8,24,YES
Haptophyta_K03695,1.06448474333551e-07,20,8,24,YES
Haptophyta_K14826,1.11287041348713e-07,20,16,24,YES
Bacillariophyta_K15636,1.55831649529006e-07,12,12,24,YES
Haptophyta_K12392,1.55831649529006e-07,24,12,24,YES
Haptophyta_K00469,1.55831649529006e-07,12,12,24,YES
Bacillariophyta_K05907,1.63623232005456e-07,16,12,24,YES
Bacillariophyta_K05298,1.63623232005456e-07,16,12,24,YES
Chlorophyta_K05863,1.63623232005456e-07,24,12,24,YES
Chlorophyta_K15174,1.63623232005456e-07,12,12,24,YES
Haptophyta_K00249,1.63623232005456e-07,24,12,24,YES
Haptophyta_K09577,1.63623232005456e-07,24,12,24,YES
Haptophyta_K00074,1.63623232005456e-07,24,12,24,YES
Haptophyta_K01782,1.63623232005456e-07,24,12,24,YES
Haptophyta_K07511,1.63623232005456e-07,24,12,24,YES
Haptophyta_K07516,1.63623232005456e-07,24,12,24,YES
Haptophyta_K02149,1.63623232005456e-07,24,12,24,YES
Haptophyta_K04632,1.63623232005456e-07,24,12,24,YES
Haptophyta_K00909,1.63623232005456e-07,24,12,24,YES
Haptophyta_K01673,1.63623232005456e-07,12,12,24,YES
Haptophyta_K17069,1.63623232005456e-07,24,12,24,YES
Haptophyta_K09478,1.68211523820882e-07,24,8,24,YES
Chlorophyta_K08907,1.69053174213409e-07,12,16,24,YES
Haptophyta_K03686,1.71414814481906e-07,24,12,24,YES
Haptophyta_K11659,1.71414814481906e-07,24,12,24,YES
Haptophyta_K00680,1.71414814481906e-07,24,12,24,YES
Ochrophyta_K00134,1.71414814481906e-07,16,12,24,YES
Dinophyta_K01289,1.76622100011926e-07,24,8,24,YES
Bacillariophyta_K01507,1.77505832924079e-07,12,16,24,YES
Bacillariophyta_K00927,1.77505832924079e-07,12,16,24,YES
Haptophyta_K00761,1.77505832924079e-07,12,16,24,YES
Ochrophyta_K15103,1.77505832924079e-07,12,16,24,YES
Haptophyta_K09499,1.79206396958357e-07,24,12,24,YES
Haptophyta_K02926,1.92828616393198e-07,8,12,24,YES
Haptophyta_K02867,1.92828616393198e-07,8,12,24,YES
Haptophyta_K03545,1.92828616393198e-07,8,12,24,YES
Dinophyta_K00817,2.03944907499516e-07,16,8,24,YES
Haptophyta_K06446,2.13412091532151e-07,20,16,24,YES
Haptophyta_K11907,2.13412091532151e-07,20,8,24,YES
Haptophyta_K08054,2.13412091532151e-07,20,16,24,YES
Haptophyta_K08057,2.13412091532151e-07,20,16,24,YES
Haptophyta_K07151,2.13412091532151e-07,20,16,24,YES
Haptophyta_K13606,2.13656569761398e-07,16,8,24,YES
Haptophyta_K03428,2.13656569761398e-07,16,8,24,YES
Haptophyta_K00855,2.2644058672798e-07,16,4,24,YES
Bacillariophyta_K02705,2.33737052630451e-07,20,8,24,YES
Ochrophyta_K00380,2.33737052630451e-07,12,8,24,YES
Bacillariophyta_K03839,3.40779775921962e-07,16,12,24,YES
Haptophyta_K05755,3.40779775921962e-07,24,12,24,YES
Haptophyta_K13753,3.40779775921962e-07,24,12,24,YES
Haptophyta_K17723,3.40779775921962e-07,24,12,24,YES
Haptophyta_K15980,3.40779775921962e-07,24,12,24,YES
Haptophyta_K00252,3.53293016519591e-07,24,8,24,YES
Dinophyta_K14611,3.5781876471806e-07,24,12,24,YES
Bacillariophyta_K02355,3.5781876471806e-07,12,12,24,YES
Bacillariophyta_K00616,3.5781876471806e-07,16,12,24,YES
Haptophyta_K10358,3.5781876471806e-07,24,12,24,YES
Haptophyta_K09250,3.5781876471806e-07,24,12,24,YES
Haptophyta_K08793,3.5781876471806e-07,24,12,24,YES
Haptophyta_K16794,3.5781876471806e-07,24,12,24,YES
Haptophyta_K07515,3.5781876471806e-07,24,12,24,YES
Haptophyta_K16465,3.5781876471806e-07,24,12,24,YES
Haptophyta_K01899,3.5781876471806e-07,24,12,24,YES
Haptophyta_K01783,3.5781876471806e-07,12,12,24,YES
Haptophyta_K01682,3.5781876471806e-07,24,12,24,YES
Haptophyta_K02154,3.5781876471806e-07,24,12,24,YES
Haptophyta_K00026,3.5781876471806e-07,24,12,24,YES
Haptophyta_K13751,3.5781876471806e-07,24,12,24,YES
Haptophyta_K13210,3.5781876471806e-07,24,12,24,YES
Haptophyta_K02209,3.5781876471806e-07,24,12,24,YES
Ochrophyta_K00605,3.5781876471806e-07,12,12,24,YES
Ochrophyta_K11188,3.5781876471806e-07,24,12,24,YES
Haptophyta_K01464,3.57831730837624e-07,24,16,24,YES
Ochrophyta_K01843,3.6018452359451e-07,16,12,24,YES
Haptophyta_K02357,3.70957667345571e-07,8,16,24,YES
Ochrophyta_K01682,3.70957667345571e-07,24,8,24,YES
Ochrophyta_K02638,3.70957667345571e-07,8,16,24,YES
Rhodophyta_K00031,3.70957667345571e-07,24,8,24,YES
Cryptophyta_K00958,3.7320997676968e-07,12,16,24,YES
Cryptophyta_K13926,3.74857753514158e-07,12,12,24,YES
Haptophyta_K11665,3.74857753514158e-07,24,12,24,YES
Haptophyta_K09553,3.74857753514158e-07,24,12,24,YES
Haptophyta_K08291,3.74857753514158e-07,24,12,24,YES
Haptophyta_K01715,3.74857753514158e-07,24,12,24,YES
Haptophyta_K00257,3.75723317379506e-07,24,8,24,YES
Haptophyta_K12193,3.75723317379506e-07,16,8,24,YES
Haptophyta_K10208,3.75723317379506e-07,16,8,24,YES
Bacillariophyta_K09838,3.86266089868215e-07,20,4,24,YES
Haptophyta_K16839,3.86266089868215e-07,20,4,24,YES
Chlorophyta_K13538,3.8862231817155e-07,8,8,24,YES
Ochrophyta_K01624,3.91896742310256e-07,12,12,24,YES
Bacillariophyta_K06001,4.04659713195273e-07,20,4,24,YES
Dinophyta_K17478,4.0628696899753e-07,16,16,24,YES
Haptophyta_K00234,4.21616679828602e-07,20,12,24,YES
Haptophyta_K10699,4.21616679828602e-07,20,12,24,YES
Haptophyta_K02945,4.21616679828602e-07,8,12,24,YES
Haptophyta_K02871,4.21616679828602e-07,8,12,24,YES
Haptophyta_K02956,4.21616679828602e-07,8,12,24,YES
Haptophyta_K02902,4.21616679828602e-07,8,12,24,YES
Bacillariophyta_K01624,4.25898983085553e-07,12,16,24,YES
Haptophyta_K11594,4.32295665571599e-07,20,16,24,YES
Haptophyta_K08738,4.32295665571599e-07,20,16,24,YES
Ochrophyta_K03407,4.32295665571599e-07,20,8,24,YES
Dinophyta_K03955,4.38016032932278e-07,16,8,24,YES
Bacillariophyta_K08907,4.38016032932278e-07,16,8,24,YES
Cryptophyta_K08910,4.38016032932278e-07,16,8,24,YES
Haptophyta_K03688,4.38016032932278e-07,16,8,24,YES
Haptophyta_K08908,4.38016032932278e-07,16,8,24,YES
Ochrophyta_K08907,4.38016032932278e-07,16,8,24,YES
Ochrophyta_K02358,4.38016032932278e-07,16,8,24,YES
Haptophyta_K04564,4.41693664582345e-07,8,12,24,YES
Ochrophyta_K00235,4.42602353390438e-07,24,8,24,YES
Bacillariophyta_K06215,4.5099755648894e-07,12,12,24,YES
Bacillariophyta_K08911,4.5099755648894e-07,16,12,24,YES
Haptophyta_K02230,4.5099755648894e-07,20,4,24,YES
Dinophyta_K16873,4.58873939262386e-07,16,8,24,YES
Ochrophyta_K00240,4.6367865593284e-07,24,8,24,YES
Bacillariophyta_K01698,6.65461564926329e-07,16,8,24,YES
Cryptophyta_K03403,6.93737247970734e-07,20,4,24,YES
Haptophyta_K10841,7.06049422186164e-07,24,12,24,YES
Bacillariophyta_K01803,7.15663461675249e-07,16,12,24,YES
Bicosoecida_K01899,7.15663461675249e-07,24,12,24,YES
Bicosoecida_K01902,7.15663461675249e-07,24,12,24,YES
Haptophyta_K04443,7.15663461675249e-07,24,12,24,YES
Chlorophyta_K10423,7.2036904718902e-07,4,8,24,YES
Rhodophyta_K08911,7.24697530097411e-07,16,8,24,YES
Ochrophyta_K00326,7.36473151193313e-07,8,12,24,YES
Haptophyta_K02879,7.51410440773784e-07,8,16,24,YES
Haptophyta_K02858,7.51410440773784e-07,8,16,24,YES
Bacillariophyta_K01599,7.51446634759011e-07,16,12,24,YES
Bacillariophyta_K02293,7.51446634759011e-07,12,12,24,YES
Bacillariophyta_K03388,7.51446634759011e-07,12,12,24,YES
Cercozoa_K01835,7.51446634759011e-07,12,12,24,YES
Chlorophyta_K08912,7.51446634759011e-07,12,12,24,YES
Chlorophyta_K08914,7.51446634759011e-07,12,12,24,YES
Chlorophyta_K02719,7.51446634759011e-07,12,12,24,YES
Cryptophyta_K08908,7.51446634759011e-07,12,12,24,YES
Haptophyta_K10357,7.51446634759011e-07,24,12,24,YES
Haptophyta_K13448,7.51446634759011e-07,24,12,24,YES
Haptophyta_K00031,7.51446634759011e-07,24,12,24,YES
Haptophyta_K04345,7.51446634759011e-07,24,12,24,YES
Haptophyta_K10840,7.51446634759011e-07,24,12,24,YES
Haptophyta_K16466,7.51446634759011e-07,24,12,24,YES
Haptophyta_K00626,7.51446634759011e-07,24,12,24,YES
Haptophyta_K00895,7.51446634759011e-07,24,12,24,YES
Haptophyta_K17530,7.51446634759011e-07,24,12,24,YES
Haptophyta_K11584,7.51446634759011e-07,24,12,24,YES
Haptophyta_K04536,7.51446634759011e-07,24,12,24,YES
Haptophyta_K04538,7.51446634759011e-07,24,12,24,YES
Haptophyta_K07825,7.51446634759011e-07,24,12,24,YES
Haptophyta_K09500,7.51446634759011e-07,24,12,24,YES
Haptophyta_K07509,7.51446634759011e-07,24,12,24,YES
Haptophyta_K02150,7.51446634759011e-07,24,12,24,YES
Haptophyta_K09493,7.51446634759011e-07,24,12,24,YES
Haptophyta_K00392,7.51446634759011e-07,24,12,24,YES
Haptophyta_K00588,7.51446634759011e-07,12,12,24,YES
Haptophyta_K02220,7.51446634759011e-07,24,12,24,YES
Ochrophyta_K12751,7.51446634759011e-07,24,12,24,YES
Ochrophyta_K02293,7.51446634759011e-07,12,12,24,YES
Ochrophyta_K01218,7.51446634759011e-07,24,12,24,YES
Bacillariophyta_K01825,7.5638749954847e-07,12,16,24,YES
Haptophyta_K13021,7.5638749954847e-07,12,16,24,YES
Haptophyta_K00248,7.60932406602281e-07,24,8,24,YES
Haptophyta_K02638,7.8719189033444e-07,8,16,24,YES
Haptophyta_K11654,7.87229807842774e-07,24,12,24,YES
Haptophyta_K02206,7.87229807842774e-07,24,12,24,YES
Haptophyta_K02144,7.87229807842774e-07,24,12,24,YES
Haptophyta_K06276,7.87229807842774e-07,24,12,24,YES
Haptophyta_K10738,7.87229807842774e-07,24,12,24,YES
Haptophyta_K04040,7.87229807842774e-07,12,12,24,YES
Haptophyta_K15275,7.9284256910941e-07,8,4,24,YES
Haptophyta_K13025,8.07086266614368e-07,20,16,24,YES
Haptophyta_K09551,8.07086266614368e-07,20,16,24,YES
Ochrophyta_K08915,8.07086266614368e-07,20,8,24,YES
Haptophyta_K00632,8.23012980926536e-07,24,12,24,YES
Haptophyta_K00413,8.47440579945086e-07,20,16,24,YES
Haptophyta_K16948,8.51797966171105e-07,24,12,24,YES
Haptophyta_K07392,8.59042964740838e-07,16,8,24,YES
Cryptophyta_K17609,8.85204706780875e-07,20,12,24,YES
Haptophyta_K14171,8.85204706780875e-07,8,12,24,YES
Haptophyta_K02895,8.85204706780875e-07,8,12,24,YES
Haptophyta_K02968,8.85204706780875e-07,8,12,24,YES
Rhodophyta_K09228,8.85204706780875e-07,8,12,24,YES
Bacillariophyta_K02704,8.87794893275805e-07,20,8,24,YES
Haptophyta_K06911,8.87794893275805e-07,20,8,24,YES
Haptophyta_K00218,8.94387864479661e-07,16,12,24,YES
Haptophyta_K06659,8.94387864479661e-07,24,12,24,YES
Bacillariophyta_K03542,9.0199511297788e-07,16,8,24,YES
Haptophyta_K02719,9.0199511297788e-07,16,8,24,YES
Haptophyta_K02133,9.0199511297788e-07,24,16,24,YES
Haptophyta_K08869,9.0199511297788e-07,16,8,24,YES
Rhodophyta_K08910,9.0199511297788e-07,16,8,24,YES
Bacillariophyta_K02879,9.27357311865679e-07,8,12,24,YES
Bacillariophyta_K10098,9.27357311865679e-07,20,12,24,YES
Haptophyta_K01869,9.27357311865679e-07,8,12,24,YES
Haptophyta_K13076,9.28149206606523e-07,20,8,24,YES
Ochrophyta_K10960,9.36977762788216e-07,20,4,24,YES
Ochrophyta_K00855,9.36977762788216e-07,12,12,24,YES
Haptophyta_K09698,9.44947261214922e-07,16,8,24,YES
Haptophyta_K04468,9.68503519937241e-07,20,16,24,YES
Haptophyta_K00795,9.87899409451964e-07,16,8,24,YES
Bacillariophyta_K14085,1.21519068377851e-06,20,4,24,YES
Cryptophyta_K02230,1.21519068377851e-06,20,4,24,YES
Haptophyta_K02904,1.40115245510293e-06,8,12,24,YES
Bacillariophyta_K03235,1.41209884437233e-06,12,16,24,YES
Haptophyta_K15329,1.41209884437233e-06,12,16,24,YES
Ochrophyta_K16233,1.42020772197976e-06,12,16,24,YES
Bacillariophyta_K01101,1.44939506019482e-06,12,12,24,YES
Chlorophyta_K00134,1.44939506019482e-06,16,12,24,YES
Haptophyta_K03798,1.44939506019482e-06,16,12,24,YES
Haptophyta_K09496,1.44939506019482e-06,24,12,24,YES
Haptophyta_K14810,1.44939506019482e-06,24,12,24,YES
Haptophyta_K05298,1.44939506019482e-06,16,12,24,YES
Cryptophyta_K10341,1.47294630238663e-06,8,16,24,YES
Haptophyta_K00517,1.47294630238663e-06,8,16,24,YES
Haptophyta_K02356,1.47294630238663e-06,8,16,24,YES
Bacillariophyta_K01782,1.48270378659094e-06,12,16,24,YES
Bacillariophyta_K01610,1.48270378659094e-06,12,16,24,YES
Bacillariophyta_K01091,1.48270378659094e-06,12,16,24,YES
Haptophyta_K07124,1.48270378659094e-06,12,16,24,YES
Bacillariophyta_K03403,1.49121810807875e-06,20,8,24,YES
Haptophyta_K02293,1.49121810807875e-06,16,8,24,YES
Bacillariophyta_K00382,1.49244889350781e-06,16,12,24,YES
Dinophyta_K02598,1.52186481320456e-06,12,12,24,YES
Dinophyta_K03437,1.52186481320456e-06,12,12,24,YES
Bacillariophyta_K02115,1.52186481320456e-06,12,12,24,YES
Bacillariophyta_K00514,1.52186481320456e-06,12,12,24,YES
Bacillariophyta_K00469,1.52186481320456e-06,12,12,24,YES
Haptophyta_K10352,1.52186481320456e-06,24,12,24,YES
Haptophyta_K02677,1.52186481320456e-06,24,12,24,YES
Haptophyta_K01624,1.52186481320456e-06,12,12,24,YES
Haptophyta_K15920,1.52186481320456e-06,24,12,24,YES
Haptophyta_K01676,1.52186481320456e-06,24,12,24,YES
Haptophyta_K07512,1.52186481320456e-06,24,12,24,YES
Haptophyta_K13338,1.52186481320456e-06,16,12,24,YES
Haptophyta_K08819,1.52186481320456e-06,24,12,24,YES
Haptophyta_K09497,1.52186481320456e-06,24,12,24,YES
Haptophyta_K01381,1.52186481320456e-06,24,12,24,YES
Haptophyta_K02136,1.52186481320456e-06,24,12,24,YES
Haptophyta_K05236,1.52186481320456e-06,24,12,24,YES
Haptophyta_K01716,1.52186481320456e-06,12,12,24,YES
Haptophyta_K11182,1.52186481320456e-06,24,12,24,YES
Haptophyta_K03549,1.52186481320456e-06,16,12,24,YES
Dinophyta_K02638,1.54308660250027e-06,8,16,24,YES
Bacillariophyta_K13177,1.54308660250027e-06,8,16,24,YES
Cercozoa_K03243,1.54308660250027e-06,8,16,24,YES
Euglenozoa_K00955,1.54308660250027e-06,24,8,24,YES
Haptophyta_K03066,1.56351788843675e-06,24,12,24,YES
Haptophyta_K02738,1.56351788843675e-06,24,12,24,YES
Bacillariophyta_K11251,1.5943345662143e-06,24,12,24,YES
Chlorarachniophyta_K04468,1.5943345662143e-06,12,12,24,YES
Haptophyta_K08907,1.5943345662143e-06,16,12,24,YES
Haptophyta_K00924,1.5943345662143e-06,24,12,24,YES
Haptophyta_K08852,1.5943345662143e-06,24,12,24,YES
Haptophyta_K15043,1.5943345662143e-06,24,12,24,YES
Haptophyta_K06631,1.5943345662143e-06,24,12,24,YES
Dinophyta_K00824,1.61322690261392e-06,24,8,24,YES
Haptophyta_K12823,1.66680431922404e-06,24,12,24,YES
Haptophyta_K02741,1.66680431922404e-06,24,12,24,YES
Chlorophyta_K05584,1.68336720272757e-06,8,16,24,YES
Bacillariophyta_K00383,1.68917045039626e-06,20,8,24,YES
