"","tax_ag_kos","tax_ag_kos_n","tax_ag_tax"
"K00239","K00239","18","Bacillariophyta_K00239,Bicosoecida_K00239,Cryptophyta_K00239,Haptophyta_K00239,Ochrophyta_K00239,SAR11_K00239,SAR86_K00239,SAR11-like_K00239,SAR92_K00239,Other Alphaproteobacteria_K00239,Roseobacter_K00239,SAR116_K00239,Crocosphaera_K00239,Euryarchaeota_K00239,Marinimicrobia_K00239,Flavobacteriia_K00239,OM60/NOR5_K00239,Actinobacteria_K00239"
"K03798","K03798","16","Bacillariophyta_K03798,Haptophyta_K03798,Ochrophyta_K03798,SAR86_K03798,SAR92_K03798,High-light Pro_K03798,SAR116_K03798,Other Alphaproteobacteria_K03798,Crocosphaera_K03798,SAR11_K03798,SAR324_K03798,Roseobacter_K03798,Actinobacteria_K03798,Other Gammaproteobacteria_K03798,OM60/NOR5_K03798,SAR11-like_K03798"
"K02703","K02703","14","Dinophyta_K02703,Bacillariophyta_K02703,Chlorophyta_K02703,Cryptophyta_K02703,Euglenozoa_K02703,Haptophyta_K02703,Ochrophyta_K02703,High-light Pro_K02703,Low-light Pro_K02703,Viruses_K02703,Synechococcus_K02703,Eukaryota_K02703,Crocosphaera_K02703,--_K02703"
"K02358","K02358","14","Bacillariophyta_K02358,Chlorophyta_K02358,Cryptophyta_K02358,Euglenozoa_K02358,Haptophyta_K02358,Ochrophyta_K02358,Eukaryota_K02358,High-light Pro_K02358,Crocosphaera_K02358,OM60/NOR5_K02358,SAR116_K02358,SAR324_K02358,SAR92_K02358,SAR11_K02358"
"K04077","K04077","14","Haptophyta_K04077,Crocosphaera_K04077,SAR116_K04077,SAR11_K04077,SAR324_K04077,Marinimicrobia_K04077,SAR92_K04077,SAR86_K04077,High-light Pro_K04077,OM60/NOR5_K04077,SAR11-like_K04077,Other Gammaproteobacteria_K04077,Eukaryota_K04077,Roseobacter_K04077"
"K04043","K04043","13","Bicosoecida_K04043,Haptophyta_K04043,OM60/NOR5_K04043,SAR92_K04043,SAR86_K04043,Other Gammaproteobacteria_K04043,SAR11-like_K04043,SAR11_K04043,SAR116_K04043,Other Alphaproteobacteria_K04043,High-light Pro_K04043,Euryarchaeota_K04043,SAR324_K04043"
"K02274","K02274","13","Euglenozoa_K02274,SAR92_K02274,High-light Pro_K02274,SAR11-like_K02274,Roseobacter_K02274,SAR86_K02274,Rivulariaceae_K02274,Crocosphaera_K02274,SAR116_K02274,Other Gammaproteobacteria_K02274,SAR11_K02274,Flavobacteriia_K02274,OM60/NOR5_K02274"
"K02275","K02275","12","Roseobacter_K02275,OM60/NOR5_K02275,SAR92_K02275,Other Gammaproteobacteria_K02275,SAR11_K02275,Rivulariaceae_K02275,SAR116_K02275,SAR11-like_K02275,Crocosphaera_K02275,Other Bacteroidetes_K02275,High-light Pro_K02275,SAR86_K02275"
"K02935","K02935","11","Dinophyta_K02935,Bicosoecida_K02935,Chlorophyta_K02935,Haptophyta_K02935,Ochrophyta_K02935,Eukaryota_K02935,High-light Pro_K02935,--_K02935,Actinobacteria_K02935,Crocosphaera_K02935,Roseobacter_K02935"
"K03522","K03522","11","Bacillariophyta_K03522,Cryptophyta_K03522,Haptophyta_K03522,Ochrophyta_K03522,Rhodophyta_K03522,Sarcomastigophora_K03522,Other Alphaproteobacteria_K03522,SAR116_K03522,Actinobacteria_K03522,OM60/NOR5_K03522,SAR92_K03522"
"K03403","K03403","10","Dinophyta_K03403,Bacillariophyta_K03403,Chlorophyta_K03403,Cryptophyta_K03403,Haptophyta_K03403,Ochrophyta_K03403,High-light Pro_K03403,Low-light Pro_K03403,Crocosphaera_K03403,Roseobacter_K03403"
"K02355","K02355","10","Bacillariophyta_K02355,Chlorophyta_K02355,Cryptophyta_K02355,Glaucophyta_K02355,Haptophyta_K02355,Ochrophyta_K02355,--_K02355,High-light Pro_K02355,SAR92_K02355,Crocosphaera_K02355"
