"","tax_ag_kos","tax_ag_kos_n","tax_ag_tax"
"K02716","K02716","10","Bacillariophyta_K02716,Cercozoa_K02716,Chlorophyta_K02716,Euglenozoa_K02716,Haptophyta_K02716,Ochrophyta_K02716,High-light Pro_K02716,Crocosphaera_K02716,Viruses_K02716,SAR11_K02716"
"K03320","K03320","10","Chlorarachniophyta_K03320,Chlorophyta_K03320,Cryptophyta_K03320,Haptophyta_K03320,Ochrophyta_K03320,Low-light Pro_K03320,High-light Pro_K03320,SAR11_K03320,Other Alphaproteobacteria_K03320,SAR92_K03320"
"K01624","K01624","9","Dinophyta_K01624,Bacillariophyta_K01624,Chlorophyta_K01624,Cryptophyta_K01624,Haptophyta_K01624,Ochrophyta_K01624,Rhodophyta_K01624,High-light Pro_K01624,Crocosphaera_K01624"
"K01682","K01682","9","Dinophyta_K01682,Bacillariophyta_K01682,Cercozoa_K01682,Chlorophyta_K01682,Cryptophyta_K01682,Haptophyta_K01682,Ochrophyta_K01682,Sarcomastigophora_K01682,Crocosphaera_K01682"
"K08911","K08911","9","Dinophyta_K08911,Bacillariophyta_K08911,Cercozoa_K08911,Chlorophyta_K08911,Cryptophyta_K08911,Euglenozoa_K08911,Haptophyta_K08911,Ochrophyta_K08911,Rhodophyta_K08911"
"K01602","K01602","9","Dinophyta_K01602,Bacillariophyta_K01602,Chlorophyta_K01602,Cryptophyta_K01602,Sarcomastigophora_K01602,High-light Pro_K01602,Eukaryota_K01602,Crocosphaera_K01602,--_K01602"
"K02886","K02886","9","Bacillariophyta_K02886,Haptophyta_K02886,Ochrophyta_K02886,High-light Pro_K02886,Eukaryota_K02886,Crocosphaera_K02886,SAR92_K02886,Other Gammaproteobacteria_K02886,Other Alphaproteobacteria_K02886"
"K00927","K00927","9","Bacillariophyta_K00927,Cercozoa_K00927,Chlorophyta_K00927,Cryptophyta_K00927,Haptophyta_K00927,Ochrophyta_K00927,Rhodophyta_K00927,Crocosphaera_K00927,High-light Pro_K00927"
"K02705","K02705","9","Bacillariophyta_K02705,Chlorophyta_K02705,Cryptophyta_K02705,Haptophyta_K02705,Rhodophyta_K02705,High-light Pro_K02705,Low-light Pro_K02705,Eukaryota_K02705,Crocosphaera_K02705"
"K00411","K00411","9","Bacillariophyta_K00411,Chlorophyta_K00411,Haptophyta_K00411,Ochrophyta_K00411,SAR11_K00411,SAR86_K00411,SAR11-like_K00411,SAR116_K00411,Roseobacter_K00411"
"K02078","K02078","9","Bacillariophyta_K02078,Chlorophyta_K02078,Haptophyta_K02078,SAR92_K02078,High-light Pro_K02078,Other Gammaproteobacteria_K02078,Crocosphaera_K02078,SAR116_K02078,Roseobacter_K02078"
"K01338","K01338","9","Chlorarachniophyta_K01338,SAR92_K01338,SAR86_K01338,Other Gammaproteobacteria_K01338,SAR11_K01338,Crocosphaera_K01338,OM60/NOR5_K01338,SAR324_K01338,Other Alphaproteobacteria_K01338"
"K11251","K11251","8","Dinophyta_K11251,Bacillariophyta_K11251,Bicosoecida_K11251,Chlorophyta_K11251,Glaucophyta_K11251,Haptophyta_K11251,Ochrophyta_K11251,Rhodophyta_K11251"
"K08913","K08913","8","Dinophyta_K08913,Bacillariophyta_K08913,Cercozoa_K08913,Chlorophyta_K08913,Cryptophyta_K08913,Euglenozoa_K08913,Haptophyta_K08913,Ochrophyta_K08913"
"K02183","K02183","8","Chromerida_K02183,Bacillariophyta_K02183,Cercozoa_K02183,Chlorophyta_K02183,Cryptophyta_K02183,Haptophyta_K02183,Ochrophyta_K02183,Eukaryota_K02183"
"K01899","K01899","8","Bacillariophyta_K01899,Bicosoecida_K01899,Cercozoa_K01899,Chlorophyta_K01899,Cryptophyta_K01899,Haptophyta_K01899,Ochrophyta_K01899,Rhodophyta_K01899"
"K00266","K00266","8","Bacillariophyta_K00266,Cryptophyta_K00266,Haptophyta_K00266,Sarcomastigophora_K00266,SAR116_K00266,Other Gammaproteobacteria_K00266,Planctomycetes_K00266,Roseobacter_K00266"
"K00605","K00605","8","Bacillariophyta_K00605,Chlorophyta_K00605,Haptophyta_K00605,Ochrophyta_K00605,Rivulariaceae_K00605,Crocosphaera_K00605,SAR11-like_K00605,SAR116_K00605"
"K02636","K02636","8","Bacillariophyta_K02636,Chlorophyta_K02636,Euglenozoa_K02636,Haptophyta_K02636,Ochrophyta_K02636,Rhodophyta_K02636,High-light Pro_K02636,Crocosphaera_K02636"
"K03782","K03782","8","Cercozoa_K03782,SAR11_K03782,--_K03782,SAR116_K03782,SAR86_K03782,SAR11-like_K03782,SAR92_K03782,Other Alphaproteobacteria_K03782"
"K00413","K00413","8","Haptophyta_K00413,Ochrophyta_K00413,SAR11-like_K00413,SAR11_K00413,SAR86_K00413,SAR116_K00413,Other Alphaproteobacteria_K00413,Roseobacter_K00413"
"K03687","K03687","8","Rhodophyta_K03687,Sarcomastigophora_K03687,OM60/NOR5_K03687,SAR92_K03687,SAR86_K03687,Crocosphaera_K03687,High-light Pro_K03687,Other Gammaproteobacteria_K03687"
"K06207","K06207","7","Dinophyta_K06207,Cercozoa_K06207,Chlorophyta_K06207,Haptophyta_K06207,Ochrophyta_K06207,SAR11_K06207,Roseobacter_K06207"
"K00514","K00514","7","Dinophyta_K00514,Bacillariophyta_K00514,Cryptophyta_K00514,Euglenozoa_K00514,Haptophyta_K00514,Ochrophyta_K00514,High-light Pro_K00514"
"K00234","K00234","7","Bacillariophyta_K00234,Bicosoecida_K00234,Cercozoa_K00234,Chlorophyta_K00234,Cryptophyta_K00234,Haptophyta_K00234,Ochrophyta_K00234"
"K00335","K00335","7","Bacillariophyta_K00335,Haptophyta_K00335,Ochrophyta_K00335,Roseobacter_K00335,SAR11-like_K00335,SAR11_K00335,Other Alphaproteobacteria_K00335"
"K09564","K09564","7","Bacillariophyta_K09564,Bicosoecida_K09564,Chlorarachniophyta_K09564,Chlorophyta_K09564,Cryptophyta_K09564,Haptophyta_K09564,Sarcomastigophora_K09564"
"K02115","K02115","7","Bacillariophyta_K02115,Chlorophyta_K02115,Haptophyta_K02115,Ochrophyta_K02115,High-light Pro_K02115,Crocosphaera_K02115,SAR86_K02115"
"K10389","K10389","7","Bacillariophyta_K10389,Cercozoa_K10389,Chlorarachniophyta_K10389,Chlorophyta_K10389,Glaucophyta_K10389,Haptophyta_K10389,Ochrophyta_K10389"
"K00161","K00161","7","Bacillariophyta_K00161,Cryptophyta_K00161,SAR116_K00161,High-light Pro_K00161,Roseobacter_K00161,Other Bacteroidetes_K00161,Flavobacteriia_K00161"
"K00311","K00311","7","Bacillariophyta_K00311,Bicosoecida_K00311,Haptophyta_K00311,Ochrophyta_K00311,SAR86_K00311,Other Gammaproteobacteria_K00311,SAR11_K00311"
"K00382","K00382","7","Bacillariophyta_K00382,Ochrophyta_K00382,High-light Pro_K00382,SAR11-like_K00382,SAR86_K00382,SAR92_K00382,Roseobacter_K00382"
"K00031","K00031","7","Bacillariophyta_K00031,Chlorophyta_K00031,Haptophyta_K00031,Ochrophyta_K00031,Rhodophyta_K00031,SAR92_K00031,Crocosphaera_K00031"
"K00249","K00249","7","Bacillariophyta_K00249,Bicosoecida_K00249,Haptophyta_K00249,Ochrophyta_K00249,SAR116_K00249,OM60/NOR5_K00249,SAR92_K00249"
"K08738","K08738","7","Bacillariophyta_K08738,Bicosoecida_K08738,Chlorophyta_K08738,Haptophyta_K08738,Sarcomastigophora_K08738,SAR11-like_K08738,Roseobacter_K08738"
"K01915","K01915","7","Bacillariophyta_K01915,Cryptophyta_K01915,Haptophyta_K01915,Ochrophyta_K01915,Crocosphaera_K01915,Other Bacteroidetes_K01915,Roseobacter_K01915"
"K00278","K00278","7","Bicosoecida_K00278,Cercozoa_K00278,Chlorophyta_K00278,Cryptophyta_K00278,Haptophyta_K00278,Ochrophyta_K00278,High-light Pro_K00278"
"K02639","K02639","7","Cercozoa_K02639,Chlorophyta_K02639,Haptophyta_K02639,Ochrophyta_K02639,Crocosphaera_K02639,Eukaryota_K02639,High-light Pro_K02639"
"K03086","K03086","7","Chlorarachniophyta_K03086,Chlorophyta_K03086,Haptophyta_K03086,Ochrophyta_K03086,High-light Pro_K03086,Other Gammaproteobacteria_K03086,SAR86_K03086"
"K00962","K00962","7","Chlorophyta_K00962,Haptophyta_K00962,High-light Pro_K00962,SAR11_K00962,SAR11-like_K00962,Crocosphaera_K00962,Flavobacteriia_K00962"
"K03089","K03089","7","Chlorophyta_K03089,Haptophyta_K03089,Ochrophyta_K03089,OM60/NOR5_K03089,SAR86_K03089,Other Alphaproteobacteria_K03089,SAR116_K03089"
"K00164","K00164","7","Haptophyta_K00164,Ochrophyta_K00164,SAR92_K00164,OM60/NOR5_K00164,Roseobacter_K00164,SAR86_K00164,SAR11_K00164"
"K02888","K02888","7","Haptophyta_K02888,High-light Pro_K02888,Eukaryota_K02888,Crocosphaera_K02888,SAR11_K02888,SAR86_K02888,SAR116_K02888"
"K03797","K03797","7","Low-light Pro_K03797,Crocosphaera_K03797,High-light Pro_K03797,Flavobacteriia_K03797,SAR116_K03797,SAR11_K03797,Other Bacteroidetes_K03797"
"K00412","K00412","7","Roseobacter_K00412,SAR116_K00412,SAR11-like_K00412,Other Alphaproteobacteria_K00412,SAR11_K00412,SAR86_K00412,SAR92_K00412"
"K02992","K02992","6","Dinophyta_K02992,Haptophyta_K02992,High-light Pro_K02992,SAR324_K02992,SAR116_K02992,Crocosphaera_K02992"
"K09458","K09458","6","Dinophyta_K09458,Bacillariophyta_K09458,Haptophyta_K09458,Ochrophyta_K09458,Crocosphaera_K09458,High-light Pro_K09458"
"K11254","K11254","6","Dinophyta_K11254,Chromerida_K11254,Bacillariophyta_K11254,Chlorophyta_K11254,Haptophyta_K11254,Ochrophyta_K11254"
"K02638","K02638","6","Dinophyta_K02638,Bacillariophyta_K02638,Haptophyta_K02638,Ochrophyta_K02638,High-light Pro_K02638,Crocosphaera_K02638"
"K02926","K02926","6","Dinophyta_K02926,Haptophyta_K02926,Crocosphaera_K02926,High-light Pro_K02926,OM60/NOR5_K02926,SAR86_K02926"
"K05808","K05808","6","Dinophyta_K05808,Bacillariophyta_K05808,Haptophyta_K05808,Ochrophyta_K05808,OM60/NOR5_K05808,High-light Pro_K05808"
"K00384","K00384","6","Bacillariophyta_K00384,Glaucophyta_K00384,Haptophyta_K00384,High-light Pro_K00384,SAR11_K00384,Crocosphaera_K00384"
"K00615","K00615","6","Bacillariophyta_K00615,Cercozoa_K00615,Cryptophyta_K00615,Haptophyta_K00615,Ochrophyta_K00615,Crocosphaera_K00615"
"K00281","K00281","6","Bacillariophyta_K00281,Roseobacter_K00281,High-light Pro_K00281,Marinimicrobia_K00281,Other Bacteroidetes_K00281,Crocosphaera_K00281"
"K00284","K00284","6","Bacillariophyta_K00284,Bicosoecida_K00284,Haptophyta_K00284,High-light Pro_K00284,Crocosphaera_K00284,SAR324_K00284"
"K00325","K00325","6","Bacillariophyta_K00325,Chlorarachniophyta_K00325,Haptophyta_K00325,Ochrophyta_K00325,Crocosphaera_K00325,High-light Pro_K00325"
"K00257","K00257","6","Bacillariophyta_K00257,Bicosoecida_K00257,Haptophyta_K00257,Ochrophyta_K00257,--_K00257,Other Alphaproteobacteria_K00257"
"K00150","K00150","6","Bacillariophyta_K00150,Bicosoecida_K00150,Cercozoa_K00150,Chlorophyta_K00150,Haptophyta_K00150,Crocosphaera_K00150"
"K00244","K00244","6","Bacillariophyta_K00244,Bicosoecida_K00244,Cryptophyta_K00244,Haptophyta_K00244,Ochrophyta_K00244,Rhodophyta_K00244"
"K00026","K00026","6","Bacillariophyta_K00026,Bicosoecida_K00026,Glaucophyta_K00026,Haptophyta_K00026,Ochrophyta_K00026,Rhodophyta_K00026"
"K08907","K08907","6","Bacillariophyta_K08907,Chlorophyta_K08907,Cryptophyta_K08907,Haptophyta_K08907,Ochrophyta_K08907,Rhodophyta_K08907"
"K02293","K02293","6","Bacillariophyta_K02293,Chlorophyta_K02293,Cryptophyta_K02293,Haptophyta_K02293,Ochrophyta_K02293,Crocosphaera_K02293"
"K08908","K08908","6","Bacillariophyta_K08908,Chlorophyta_K08908,Cryptophyta_K08908,Euglenozoa_K08908,Haptophyta_K08908,Ochrophyta_K08908"
"K08916","K08916","6","Bacillariophyta_K08916,Cercozoa_K08916,Chlorophyta_K08916,Cryptophyta_K08916,Euglenozoa_K08916,Haptophyta_K08916"
"K02635","K02635","6","Bacillariophyta_K02635,Haptophyta_K02635,Eukaryota_K02635,--_K02635,Crocosphaera_K02635,High-light Pro_K02635"
"K02986","K02986","6","Chlorarachniophyta_K02986,High-light Pro_K02986,Low-light Pro_K02986,Eukaryota_K02986,SAR92_K02986,Planctomycetes_K02986"
"K06118","K06118","6","Cryptophyta_K06118,Haptophyta_K06118,Ochrophyta_K06118,High-light Pro_K06118,Crocosphaera_K06118,Low-light Pro_K06118"
"K02112","K02112","6","Cryptophyta_K02112,Haptophyta_K02112,Rhodophyta_K02112,Crocosphaera_K02112,Eukaryota_K02112,Roseobacter_K02112"
"K02111","K02111","6","Haptophyta_K02111,High-light Pro_K02111,Eukaryota_K02111,Crocosphaera_K02111,Actinobacteria_K02111,Other Alphaproteobacteria_K02111"
"K02952","K02952","6","Haptophyta_K02952,High-light Pro_K02952,Crocosphaera_K02952,Eukaryota_K02952,Euryarchaeota_K02952,SAR92_K02952"
"K02892","K02892","6","Haptophyta_K02892,High-light Pro_K02892,OM60/NOR5_K02892,Crocosphaera_K02892,Eukaryota_K02892,Flavobacteriia_K02892"
"K00336","K00336","6","Haptophyta_K00336,SAR11_K00336,SAR116_K00336,SAR11-like_K00336,Eukaryota_K00336,Roseobacter_K00336"
"K04771","K04771","6","Haptophyta_K04771,Ochrophyta_K04771,Roseobacter_K04771,SAR86_K04771,SAR11-like_K04771,Other Alphaproteobacteria_K04771"
"K02035","K02035","6","Sarcomastigophora_K02035,High-light Pro_K02035,SAR116_K02035,Other Bacteroidetes_K02035,SAR324_K02035,SUP05/ARCTIC96BD-19_K02035"
"K02109","K02109","6","High-light Pro_K02109,Eukaryota_K02109,Crocosphaera_K02109,Roseobacter_K02109,SAR86_K02109,Other Alphaproteobacteria_K02109"
"K01601","K01601","6","Crocosphaera_K01601,High-light Pro_K01601,--_K01601,Low-light Pro_K01601,Eukaryota_K01601,Other Alphaproteobacteria_K01601"
"K04487","K04487","6","SAR324_K04487,High-light Pro_K04487,SAR86_K04487,Crocosphaera_K04487,Other Gammaproteobacteria_K04487,SAR92_K04487"
"K04080","K04080","6","SAR86_K04080,SAR116_K04080,SAR11_K04080,Other Alphaproteobacteria_K04080,SAR11-like_K04080,--_K04080"
"K04087","K04087","6","SAR86_K04087,SAR11-like_K04087,SAR116_K04087,SAR92_K04087,SAR11_K04087,OM60/NOR5_K04087"
"K04088","K04088","6","SAR86_K04088,SAR116_K04088,SAR11-like_K04088,SAR11_K04088,Roseobacter_K04088,Other Gammaproteobacteria_K04088"
"K03040","K03040","6","Crocosphaera_K03040,SAR92_K03040,Marinimicrobia_K03040,Eukaryota_K03040,High-light Pro_K03040,Other Bacteroidetes_K03040"
"K10418","K10418","5","Dinophyta_K10418,Bacillariophyta_K10418,Bicosoecida_K10418,Chlorophyta_K10418,Haptophyta_K10418"
"K02904","K02904","5","Dinophyta_K02904,Haptophyta_K02904,Eukaryota_K02904,Crocosphaera_K02904,High-light Pro_K02904"
"K02949","K02949","5","Dinophyta_K02949,Bicosoecida_K02949,Chlorophyta_K02949,Haptophyta_K02949,Ochrophyta_K02949"
"K02976","K02976","5","Dinophyta_K02976,Bacillariophyta_K02976,Cercozoa_K02976,Haptophyta_K02976,Ochrophyta_K02976"
"K02230","K02230","5","Dinophyta_K02230,Bacillariophyta_K02230,Cryptophyta_K02230,Haptophyta_K02230,Ochrophyta_K02230"
"K03388","K03388","5","Dinophyta_K03388,Bacillariophyta_K03388,Cryptophyta_K03388,Haptophyta_K03388,Ochrophyta_K03388"
"K02056","K02056","5","Dinophyta_K02056,Bacillariophyta_K02056,Haptophyta_K02056,Ochrophyta_K02056,Other Alphaproteobacteria_K02056"
"K03147","K03147","5","Dinophyta_K03147,Bacillariophyta_K03147,Ochrophyta_K03147,Rhodophyta_K03147,Crocosphaera_K03147"
"K01945","K01945","5","Chromerida_K01945,Rhodophyta_K01945,High-light Pro_K01945,Crocosphaera_K01945,SAR92_K01945"
"K01251","K01251","5","Bacillariophyta_K01251,Cercozoa_K01251,Ochrophyta_K01251,Crocosphaera_K01251,SAR324_K01251"
"K05864","K05864","5","Bacillariophyta_K05864,Chlorarachniophyta_K05864,Chlorophyta_K05864,Haptophyta_K05864,Sarcomastigophora_K05864"
"K09567","K09567","5","Bacillariophyta_K09567,Chlorarachniophyta_K09567,Chlorophyta_K09567,Cryptophyta_K09567,Haptophyta_K09567"
"K08054","K08054","5","Bacillariophyta_K08054,Bicosoecida_K08054,Haptophyta_K08054,Ochrophyta_K08054,Sarcomastigophora_K08054"
"K08057","K08057","5","Bacillariophyta_K08057,Bicosoecida_K08057,Haptophyta_K08057,Ochrophyta_K08057,Sarcomastigophora_K08057"
"K09551","K09551","5","Bacillariophyta_K09551,Bicosoecida_K09551,Haptophyta_K09551,Ochrophyta_K09551,Sarcomastigophora_K09551"
"K09487","K09487","5","Bacillariophyta_K09487,Bicosoecida_K09487,Haptophyta_K09487,Ochrophyta_K09487,SAR116_K09487"
"K00162","K00162","5","Bacillariophyta_K00162,Cryptophyta_K00162,High-light Pro_K00162,Crocosphaera_K00162,SAR116_K00162"
"K01689","K01689","5","Bacillariophyta_K01689,Cercozoa_K01689,Haptophyta_K01689,High-light Pro_K01689,Crocosphaera_K01689"
"K01955","K01955","5","Bacillariophyta_K01955,Haptophyta_K01955,--_K01955,Crocosphaera_K01955,Other Bacteroidetes_K01955"
"K10705","K10705","5","Bacillariophyta_K10705,Bicosoecida_K10705,Cercozoa_K10705,Haptophyta_K10705,Ochrophyta_K10705"
"K15987","K15987","5","Bacillariophyta_K15987,Haptophyta_K15987,Ochrophyta_K15987,Flavobacteriia_K15987,Marinimicrobia_K15987"
"K01803","K01803","5","Bacillariophyta_K01803,Chlorophyta_K01803,Haptophyta_K01803,Ochrophyta_K01803,Crocosphaera_K01803"
"K03231","K03231","5","Bacillariophyta_K03231,Chlorophyta_K03231,Cryptophyta_K03231,Euglenozoa_K03231,Haptophyta_K03231"
"K02719","K02719","5","Bacillariophyta_K02719,Chlorophyta_K02719,Haptophyta_K02719,Ochrophyta_K02719,Crocosphaera_K02719"
"K01783","K01783","5","Bacillariophyta_K01783,Chlorarachniophyta_K01783,Haptophyta_K01783,Ochrophyta_K01783,Crocosphaera_K01783"
"K00253","K00253","5","Bacillariophyta_K00253,Bicosoecida_K00253,Chlorophyta_K00253,Haptophyta_K00253,Ochrophyta_K00253"
"K04564","K04564","5","Bacillariophyta_K04564,Haptophyta_K04564,Ochrophyta_K04564,SAR116_K04564,Roseobacter_K04564"
"K03526","K03526","5","Bacillariophyta_K03526,Cercozoa_K03526,Haptophyta_K03526,Ochrophyta_K03526,Crocosphaera_K03526"
"K07944","K07944","5","Bacillariophyta_K07944,Cercozoa_K07944,Euglenozoa_K07944,Haptophyta_K07944,Ochrophyta_K07944"
"K00526","K00526","5","Bacillariophyta_K00526,Rhodophyta_K00526,Cyanothece_K00526,Other Bacteroidetes_K00526,Crocosphaera_K00526"
"K02634","K02634","5","Bacillariophyta_K02634,Ochrophyta_K02634,Crocosphaera_K02634,High-light Pro_K02634,Eukaryota_K02634"
"K01698","K01698","5","Bacillariophyta_K01698,Haptophyta_K01698,Ochrophyta_K01698,Crocosphaera_K01698,SAR86_K01698"
"K00235","K00235","5","Bacillariophyta_K00235,Cercozoa_K00235,Chlorophyta_K00235,Haptophyta_K00235,Ochrophyta_K00235"
"K05298","K05298","5","Bacillariophyta_K05298,Bicosoecida_K05298,Chlorophyta_K05298,Haptophyta_K05298,Ochrophyta_K05298"
"K03386","K03386","5","Bacillariophyta_K03386,Cryptophyta_K03386,Haptophyta_K03386,High-light Pro_K03386,Other Alphaproteobacteria_K03386"
"K02945","K02945","5","Bacillariophyta_K02945,Haptophyta_K02945,OM60/NOR5_K02945,Crocosphaera_K02945,Roseobacter_K02945"
"K00208","K00208","5","Bacillariophyta_K00208,Haptophyta_K00208,Low-light Pro_K00208,Other Gammaproteobacteria_K00208,Crocosphaera_K00208"
"K02988","K02988","5","Bacillariophyta_K02988,Haptophyta_K02988,High-light Pro_K02988,Eukaryota_K02988,Crocosphaera_K02988"
"K03545","K03545","5","Bacillariophyta_K03545,Cryptophyta_K03545,Haptophyta_K03545,Crocosphaera_K03545,High-light Pro_K03545"
"K02704","K02704","5","Bacillariophyta_K02704,Ochrophyta_K02704,High-light Pro_K02704,Crocosphaera_K02704,Eukaryota_K02704"
"K02637","K02637","5","Bacillariophyta_K02637,Chlorophyta_K02637,Haptophyta_K02637,Eukaryota_K02637,Crocosphaera_K02637"
"K01883","K01883","5","Bicosoecida_K01883,Cryptophyta_K01883,Haptophyta_K01883,Other Bacteroidetes_K01883,High-light Pro_K01883"
"K09566","K09566","5","Chlorarachniophyta_K09566,Chlorophyta_K09566,Haptophyta_K09566,Ochrophyta_K09566,Rhodophyta_K09566"
"K03087","K03087","5","Chlorarachniophyta_K03087,Chlorophyta_K03087,Haptophyta_K03087,Ochrophyta_K03087,Crocosphaera_K03087"
"K11252","K11252","5","Chlorophyta_K11252,Haptophyta_K11252,Ochrophyta_K11252,Sarcomastigophora_K11252,Eukaryota_K11252"
"K01802","K01802","5","Chlorophyta_K01802,Haptophyta_K01802,Ochrophyta_K01802,High-light Pro_K01802,Crocosphaera_K01802"
"K02906","K02906","5","Chlorophyta_K02906,Haptophyta_K02906,Eukaryota_K02906,Crocosphaera_K02906,High-light Pro_K02906"
"K02916","K02916","5","Chlorophyta_K02916,Haptophyta_K02916,High-light Pro_K02916,OM60/NOR5_K02916,Actinobacteria_K02916"
"K00380","K00380","5","Chlorophyta_K00380,Haptophyta_K00380,Ochrophyta_K00380,Euryarchaeota_K00380,Other Gammaproteobacteria_K00380"
"K02867","K02867","5","Chlorophyta_K02867,Haptophyta_K02867,Eukaryota_K02867,High-light Pro_K02867,Crocosphaera_K02867"
"K03639","K03639","5","Chlorophyta_K03639,Cryptophyta_K03639,Haptophyta_K03639,Rhodophyta_K03639,High-light Pro_K03639"
"K02887","K02887","5","Chlorophyta_K02887,Haptophyta_K02887,Eukaryota_K02887,High-light Pro_K02887,Crocosphaera_K02887"
"K09013","K09013","5","Chlorophyta_K09013,Haptophyta_K09013,SAR116_K09013,Crocosphaera_K09013,Other Alphaproteobacteria_K09013"
"K03694","K03694","5","Haptophyta_K03694,SAR116_K03694,Other Alphaproteobacteria_K03694,SAR92_K03694,Roseobacter_K03694"
"K03695","K03695","5","Haptophyta_K03695,SAR324_K03695,Other Alphaproteobacteria_K03695,SAR92_K03695,High-light Pro_K03695"
"K02871","K02871","5","Haptophyta_K02871,Eukaryota_K02871,High-light Pro_K02871,Euryarchaeota_K02871,Crocosphaera_K02871"
"K02108","K02108","5","Ochrophyta_K02108,High-light Pro_K02108,Crocosphaera_K02108,Eukaryota_K02108,Rivulariaceae_K02108"
"K01495","K01495","5","Ochrophyta_K01495,Cyanothece_K01495,SAR92_K01495,Crocosphaera_K01495,High-light Pro_K01495"
"K02689","K02689","5","Rhodophyta_K02689,Crocosphaera_K02689,High-light Pro_K02689,Synechococcus_K02689,Eukaryota_K02689"
"K06890","K06890","5","High-light Pro_K06890,SAR11-like_K06890,SAR11_K06890,SAR116_K06890,Other Alphaproteobacteria_K06890"
"K01937","K01937","5","High-light Pro_K01937,SAR11-like_K01937,SAR86_K01937,SAR92_K01937,SAR11_K01937"
"K02965","K02965","5","High-light Pro_K02965,SAR11_K02965,Eukaryota_K02965,Crocosphaera_K02965,SAR92_K02965"
