"","home_cluster","signal","silhouette_width","neighbor_cluster"
"86","Morning","Dinophyta_K05290",0.024353866096982,"Afternoon"
"87","Morning","Dinophyta_K14660",0.0299607835244542,"Afternoon"
"88","Morning","Dinophyta_K05361",0.082687339392444,"Afternoon"
"89","Morning","Dinophyta_K14744",0.215443415348207,"Night"
"90","Morning","Dinophyta_K05873",0.198398092384451,"Night"
"91","Morning","Dinophyta_K15331",0.183175701442764,"Afternoon"
"92","Morning","Dinophyta_K01434",0.059689810023796,"Afternoon"
"93","Morning","Dinophyta_K03437",0.314981214056604,"Night"
"94","Morning","Dinophyta_K15314",0.122109813188236,"Afternoon"
"95","Morning","Dinophyta_K11887",0.166595003215405,"Afternoon"
"96","Morning","Dinophyta_K09463",0.158618367548668,"Night"
"97","Morning","Dinophyta_K17770",0.113188476781462,"Night"
"98","Morning","Dinophyta_K02044",0.172178455784546,"Afternoon"
"99","Morning","Dinophyta_K05898",0.194615824128741,"Afternoon"
"100","Morning","Dinophyta_K03955",0.301468678159653,"Night"
"101","Morning","Chromerida_K01922",0.0634178990098287,"Afternoon"
"102","Morning","Chromerida_K14835",0.170555838198373,"Afternoon"
"103","Morning","Chromerida_K04646",0.183509419196063,"Night"
"104","Morning","Chromerida_K06200",0.0542108061196824,"Night"
"105","Morning","Chromerida_K01044",0.172646373523623,"Afternoon"
"106","Morning","Chromerida_K05543",0.172646373523623,"Afternoon"
"107","Morning","Bacillariophyta_K00099",0.192851341039357,"Night"
"108","Morning","Bacillariophyta_K11262",0.248879909096477,"Night"
"109","Morning","Bacillariophyta_K06158",0.295954050420981,"Afternoon"
"110","Morning","Bacillariophyta_K15738",0.193724108210239,"Night"
"111","Morning","Bacillariophyta_K03798",0.0581416444121717,"Afternoon"
"112","Morning","Bacillariophyta_K01507",0.322724699551606,"Afternoon"
"113","Morning","Bacillariophyta_K03235",0.298896382684162,"Afternoon"
"114","Morning","Bacillariophyta_K02355",0.330583499121331,"Night"
"115","Morning","Bacillariophyta_K01251",0.190187162059437,"Afternoon"
"116","Morning","Bacillariophyta_K00134",0.0221252318048343,"Afternoon"
"117","Morning","Bacillariophyta_K01750",0.159937454398411,"Afternoon"
"118","Morning","Bacillariophyta_K02115",0.301841824541846,"Night"
"119","Morning","Bacillariophyta_K00615",0.346356514840916,"Afternoon"
"120","Morning","Bacillariophyta_K01624",0.264885523613207,"Afternoon"
"121","Morning","Bacillariophyta_K00053",0.157450771839221,"Afternoon"
"122","Morning","Bacillariophyta_K06413",0.277989515358164,"Afternoon"
